Noise Level,Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.10916030534351145,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.13129770992366413,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.07938931297709924,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,13,0.15608263198163733,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,13,0.16908951798010713,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,13,0.12241775057383321,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,66,0.10366826156299841,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,66,0.0773524720893142,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,66,0.14354066985645933,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,132,0.515993265993266,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,132,0.49915824915824913,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,132,0.33080808080808083,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,198,0.56951871657754,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,198,0.45989304812834225,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,198,0.6836007130124777,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,264,0.7803030303030303,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,264,0.5350378787878788,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,264,0.7698863636363636,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,330,0.8181818181818182,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,330,0.8545454545454545,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,330,0.8424242424242424,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,396,0.8820346320346321,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,396,0.8982683982683982,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,396,0.8582251082251082,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,461,0.9057043073341094,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,461,0.8474970896391153,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,461,0.8731082654249127,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,528,0.9154040404040404,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,528,0.9204545454545454,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,528,0.7790404040404041,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,594,0.9201101928374655,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,594,0.9214876033057852,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,594,0.9104683195592287,0.9962121212121212
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,660,0.946969696969697,0.9962121212121212
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,660,0.943939393939394,0.9962121212121212
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,660,0.9257575757575758,0.9962121212121212
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.33053435114503815,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.33435114503816793,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.30381679389312977,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,13,0.3641928079571538,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,13,0.3932670237184392,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,13,0.2287681713848508,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,66,0.10925039872408293,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,66,0.24322169059011164,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,66,0.26156299840510366,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,132,0.48653198653198654,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,132,0.49074074074074076,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,132,0.35353535353535354,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,198,0.7896613190730838,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,198,0.7887700534759359,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,198,0.7718360071301248,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,264,0.8428030303030303,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,264,0.8551136363636364,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,264,0.18181818181818182,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,330,0.8828282828282829,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,330,0.9101010101010101,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,330,0.51010101010101,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,396,0.9058441558441559,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,396,0.908008658008658,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,396,0.79004329004329,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,461,0.9231664726426076,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,461,0.9220023282887078,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,461,0.8952270081490105,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,528,0.9419191919191919,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,528,0.9444444444444444,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,528,0.9179292929292929,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,594,0.9380165289256198,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,594,0.9435261707988981,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,594,0.918732782369146,0.9954545454545455
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,660,0.953030303030303,0.9954545454545455
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,660,0.95,0.9954545454545455
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,660,0.9378787878787879,0.9954545454545455
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,10,0.40992366412213743,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,10,0.4083969465648855,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,10,0.26183206106870227,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,13,0.09410864575363427,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,13,0.404743687834736,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,13,0.3320581484315226,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,66,0.11004784688995216,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,66,0.11642743221690591,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,66,0.12679425837320574,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,132,0.42592592592592593,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,132,0.3611111111111111,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,132,0.5218855218855218,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,198,0.7584670231729055,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,198,0.7789661319073083,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,198,0.803030303030303,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,264,0.8333333333333334,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,264,0.8513257575757576,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,264,0.8352272727272727,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,330,0.8757575757575757,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,330,0.8777777777777778,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,330,0.7767676767676768,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,396,0.8798701298701299,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,396,0.7846320346320347,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,396,0.8409090909090909,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,461,0.9091967403958091,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,461,0.9033760186263097,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,461,0.8649592549476135,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,528,0.9356060606060606,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,528,0.9356060606060606,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,528,0.9078282828282829,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,594,0.9435261707988981,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,594,0.931129476584022,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,594,0.8402203856749312,0.9977272727272727
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,660,0.9454545454545454,0.9977272727272727
0.3,1,Rocket-LSTM,Argmax CopycatCNN,660,0.9606060606060606,0.9977272727272727
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,660,0.9166666666666666,0.9977272727272727
0.3,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,10,0.4183206106870229,0.9962121212121212
0.3,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,10,0.43740458015267175,0.9962121212121212
