Noise Level,Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.13117754728492984,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.15924344112263575,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.13605857230018303,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,16,0.17085119412124924,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,16,0.15064298836497245,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,16,0.14451928965094918,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,82,0.18825781748564135,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,82,0.17038927887683472,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,82,0.14039566049776644,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,164,0.17373737373737375,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,164,0.20673400673400674,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,164,0.1919191919191919,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,247,0.20613409415121256,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,247,0.2296718972895863,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,247,0.21754636233951496,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,329,0.24545454545454545,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,329,0.2840909090909091,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,329,0.2878787878787879,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,412,0.27566693613581245,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,412,0.3088116410670978,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,412,0.3120452708164915,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,494,0.3567099567099567,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,494,0.4,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,494,0.3922077922077922,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,577,0.4496268656716418,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,577,0.46548507462686567,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,577,0.4552238805970149,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,659,0.5050505050505051,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,659,0.5494949494949495,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,659,0.5757575757575758,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,742,0.4796030871003308,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,742,0.4597574421168688,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,742,0.42668136714443217,0.9939357186173439
0.7,1,MultiRocket-LSTM,Probabilistic CopycatCNN,824,0.49696969696969695,0.9939357186173439
0.7,1,MultiRocket-LSTM,Argmax CopycatCNN,824,0.5042424242424243,0.9939357186173439
0.7,1,MultiRocket-LSTM,Adaptive KnockoffNets,824,0.4593939393939394,0.9939357186173439
0.7,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.1403294691885296,0.9909035779260158
0.7,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.2788285539963392,0.9909035779260158
0.7,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.26601586333129956,0.9909035779260158
0.7,1,MiniRocket-LSTM,Probabilistic CopycatCNN,16,0.2222902633190447,0.9909035779260158
0.7,1,MiniRocket-LSTM,Argmax CopycatCNN,16,0.19595835884874463,0.9909035779260158
0.7,1,MiniRocket-LSTM,Adaptive KnockoffNets,16,0.224739742804654,0.9909035779260158
0.7,1,MiniRocket-LSTM,Probabilistic CopycatCNN,82,0.36502871729419273,0.9909035779260158
0.7,1,MiniRocket-LSTM,Argmax CopycatCNN,82,0.3637523931078494,0.9909035779260158
0.7,1,MiniRocket-LSTM,Adaptive KnockoffNets,82,0.36119974473516275,0.9909035779260158
0.7,1,MiniRocket-LSTM,Probabilistic CopycatCNN,164,0.45252525252525255,0.9909035779260158
0.7,1,MiniRocket-LSTM,Argmax CopycatCNN,164,0.4841750841750842,0.9909035779260158
0.7,1,MiniRocket-LSTM,Adaptive KnockoffNets,164,0.48148148148148145,0.9909035779260158
0.7,1,MiniRocket-LSTM,Probabilistic CopycatCNN,247,0.48216833095577744,0.9909035779260158
0.7,1,MiniRocket-LSTM,Argmax CopycatCNN,247,0.46790299572039945,0.9909035779260158
0.7,1,MiniRocket-LSTM,Adaptive KnockoffNets,247,0.4536376604850214,0.9909035779260158
0.7,1,MiniRocket-LSTM,Probabilistic CopycatCNN,329,0.5393939393939394,0.9909035779260158
0.7,1,MiniRocket-LSTM,Argmax CopycatCNN,329,0.55,0.9909035779260158
0.7,1,MiniRocket-LSTM,Adaptive KnockoffNets,329,0.5348484848484848,0.9909035779260158
