Noise Level,Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.25015253203172666,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.33557046979865773,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.326418547895058,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,16,0.2908756889161053,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,16,0.30557256582976117,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,16,0.2112676056338028,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,82,0.48117421825143586,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,82,0.49393746011486916,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,82,0.49840459476707083,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,164,0.7016835016835017,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,164,0.7353535353535353,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,164,0.736026936026936,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,247,0.7667617689015692,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,247,0.753922967189729,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,247,0.7653352353780314,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,329,0.831060606060606,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,329,0.8083333333333333,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,329,0.8136363636363636,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,412,0.8641875505254648,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,412,0.8682295877122069,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,412,0.8666127728375101,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,494,0.8632034632034632,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,494,0.8493506493506493,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,494,0.8346320346320346,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,577,0.8740671641791045,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,577,0.8722014925373134,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,577,0.8666044776119403,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,659,0.8737373737373737,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,659,0.8757575757575757,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,659,0.8606060606060606,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,742,0.906284454244763,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,742,0.8996692392502756,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,742,0.9040793825799338,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,824,0.8884848484848484,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,824,0.8787878787878788,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,824,0.8860606060606061,0.9939357186173439
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.32397803538743136,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.30567419158023185,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.3349603416717511,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,16,0.32210655235762403,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,16,0.3423147581139008,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,16,0.3227189222290263,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,82,0.5271218889597958,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,82,0.5781748564135291,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,82,0.5692405871091257,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,164,0.7063973063973064,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,164,0.7771043771043771,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,164,0.7710437710437711,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,247,0.8152639087018545,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,247,0.833095577746077,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,247,0.8288159771754636,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,329,0.8568181818181818,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,329,0.8537878787878788,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,329,0.8454545454545455,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,412,0.872271624898949,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,412,0.8860145513338723,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,412,0.8666127728375101,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,494,0.9090909090909091,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,494,0.9168831168831169,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,494,0.922943722943723,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,577,0.9319029850746269,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,577,0.9356343283582089,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,577,0.9328358208955224,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,659,0.9494949494949495,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,659,0.9494949494949495,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,659,0.9292929292929293,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,742,0.9492833517089305,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,742,0.9514884233737596,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,742,0.9338478500551268,0.9909035779260158
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,824,0.9490909090909091,0.9909035779260158
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,824,0.9309090909090909,0.9909035779260158
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,824,0.9418181818181818,0.9909035779260158
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,10,0.1464307504575961,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,10,0.11897498474679682,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,10,0.14826113483831604,0.9939357186173439
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,16,0.22167789344764238,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,16,0.21616656460502143,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,16,0.226576852418861,0.9939357186173439
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,82,0.17740906190172304,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,82,0.23037651563497127,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,82,0.22910019144862795,0.9939357186173439
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,164,0.2734006734006734,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,164,0.2734006734006734,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,164,0.23232323232323232,0.9939357186173439
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,247,0.17902995720399428,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,247,0.17902995720399428,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,247,0.11626248216833096,0.9939357186173439
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,329,0.23106060606060605,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,329,0.24545454545454545,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,329,0.2340909090909091,0.9939357186173439
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,412,0.24494745351657235,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,412,0.2368633791430881,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,412,0.3734842360549717,0.9939357186173439
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,494,0.38961038961038963,0.9939357186173439
0.3,1,Rocket-LSTM,Argmax CopycatCNN,494,0.3948051948051948,0.9939357186173439
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,494,0.4562770562770563,0.9939357186173439
