Noise Level,Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.43868212324588163,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.44600366076876147,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.4307504575960952,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,16,0.4255970606246173,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,16,0.4856093080220453,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,16,0.48438456827924065,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,82,0.5781748564135291,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,82,0.6253988513082323,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,82,0.6228462029355456,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,164,0.7952861952861953,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,164,0.832996632996633,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,164,0.8188552188552188,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,247,0.8637660485021398,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,247,0.869472182596291,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,247,0.8609129814550642,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,329,0.8886363636363637,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,329,0.8916666666666667,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,329,0.8871212121212121,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,412,0.9159256265157639,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,412,0.9151172190784155,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,412,0.898949070331447,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,494,0.9194805194805195,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,494,0.9264069264069265,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,494,0.9194805194805195,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,577,0.9375,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,577,0.9589552238805971,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,577,0.9477611940298507,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,659,0.9585858585858585,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,659,0.9585858585858585,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,659,0.9474747474747475,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,742,0.9680264608599779,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,742,0.9614112458654906,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,742,0.9592061742006616,0.9939357186173439
0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,824,0.9624242424242424,0.9939357186173439
0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,824,0.9660606060606061,0.9939357186173439
0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,824,0.96,0.9939357186173439
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.49115314215985356,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.46918852959121415,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.44600366076876147,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,16,0.419473361910594,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,16,0.4568279240661359,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,16,0.44090630740967546,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,82,0.5609444798978941,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,82,0.6439055520102106,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,82,0.6317804722399489,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,164,0.731986531986532,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,164,0.7447811447811448,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,164,0.7468013468013468,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,247,0.8152639087018545,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,247,0.818830242510699,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,247,0.7995720399429387,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,329,0.8393939393939394,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,329,0.85,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,329,0.825,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,412,0.8649959579628133,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,412,0.8641875505254648,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,412,0.8496362166531932,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,494,0.8718614718614719,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,494,0.870995670995671,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,494,0.8623376623376623,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,577,0.8899253731343284,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,577,0.8908582089552238,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,577,0.8675373134328358,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,659,0.8939393939393939,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,659,0.8919191919191919,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,659,0.8838383838383839,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,742,0.9040793825799338,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,742,0.9040793825799338,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,742,0.8974641675854466,0.9909035779260158
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,824,0.8981818181818182,0.9909035779260158
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,824,0.9006060606060606,0.9909035779260158
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,824,0.8763636363636363,0.9909035779260158
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,10,0.09334960341671751,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,10,0.09395973154362416,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,10,0.11348383160463697,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,16,0.25903245560318433,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,16,0.3025107164727495,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,16,0.33251684017146355,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,82,0.5054243777919591,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,82,0.5207402680280792,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,82,0.4524569240587109,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,164,0.5993265993265994,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,164,0.6026936026936027,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,164,0.5959595959595959,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,247,0.6126961483594865,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,247,0.5763195435092725,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,247,0.5627674750356634,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,329,0.6083333333333333,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,329,0.5924242424242424,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,329,0.5931818181818181,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,412,0.5901374292643492,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,412,0.6281325788197252,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,412,0.5804365400161682,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,494,0.6138528138528139,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,494,0.6294372294372295,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,494,0.6181818181818182,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,577,0.7416044776119403,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,577,0.7313432835820896,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,577,0.7378731343283582,0.9939357186173439
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,659,0.7545454545454545,0.9939357186173439
0.1,1,Rocket-LSTM,Argmax CopycatCNN,659,0.7494949494949495,0.9939357186173439
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,659,0.7363636363636363,0.9939357186173439
