Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Samples,Accuracy,Original Model Accuracy
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.4178289872650091,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.48271679805942996,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.46694966646452396,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.46694966646452396,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.4566403881140085,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.45118253486961796,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,16,0.5245603395997575,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,16,0.5172832019405701,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,16,0.46270466949666467,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,82,0.5609460278956944,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,82,0.5924802910855064,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,82,0.5833838690115222,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,164,0.6379624014554275,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,164,0.6088538508186779,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,164,0.6506973923590055,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,247,0.6428138265615525,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,247,0.6616130988477865,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,247,0.6610066707095209,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,329,0.6858702243784112,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,329,0.6804123711340206,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,329,0.6882959369314736,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,412,0.6719223771983021,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,412,0.676773802304427,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,412,0.6731352334748333,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,494,0.6919345057610673,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,494,0.6785930867192238,0.9939357186173439
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,494,0.6864766525166768,0.9939357186173439
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,577,0.6889023650697392,0.9939357186173439
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,577,0.6907216494845361,0.9939357186173439
