Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Samples,Accuracy,Original Model Accuracy
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.5166767738023045,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.5342631898120073,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.4990903577926016,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,10,0.4845360824742268,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,10,0.47543966040024255,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,10,0.46270466949666467,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,16,0.5906610066707095,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,16,0.600970285021225,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,16,0.5955124317768344,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,82,0.6088538508186779,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,82,0.6155245603395998,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,82,0.5973317161916313,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,164,0.6791995148574894,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,164,0.687689508793208,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,164,0.7028502122498483,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,247,0.6840509399636143,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,247,0.6852637962401456,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,247,0.687689508793208,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,329,0.6622195269860521,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,329,0.645239539114615,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,329,0.6810187992722863,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,412,0.6967859308671922,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,412,0.7046694966646453,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,412,0.7052759248029109,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,494,0.7216494845360825,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,494,0.6992116434202547,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,494,0.7137659187386295,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,577,0.7319587628865979,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,577,0.7283201940570042,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,577,0.7216494845360825,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,659,0.7143723468768951,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,659,0.739842328684051,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,659,0.7228623408126137,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,742,0.7489387507580352,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,742,0.7537901758641601,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,742,0.7331716191631291,0.9939357186173439
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,824,0.7556094602789569,0.9939357186173439
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,824,0.7556094602789569,0.9939357186173439
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,824,0.7574287446937538,0.9939357186173439
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.5518496058217102,0.9927228623408126
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.572468162522741,0.9927228623408126
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.5445724681625227,0.9927228623408126
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,10,0.5839902971497878,0.9927228623408126
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,10,0.5773195876288659,0.9927228623408126
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,10,0.5949060036385688,0.9927228623408126
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,16,0.6373559733171619,0.9927228623408126
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,16,0.6500909642207399,0.9927228623408126
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,16,0.6440266828380837,0.9927228623408126
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,82,0.6961795027289266,0.9927228623408126
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,82,0.6937537901758641,0.9927228623408126
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,82,0.6961795027289266,0.9927228623408126
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,164,0.7095209217707702,0.9927228623408126
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,164,0.7131594906003639,0.9927228623408126
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,164,0.7258944815039418,0.9927228623408126
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,247,0.7216494845360825,0.9927228623408126
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,247,0.7210430563978169,0.9927228623408126
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,247,0.7107337780473014,0.9927228623408126
