Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy,Parameter Count,Attack duration
1,MultiRocket-LSTM,Probabilistic CopycatCNN,7,0.3719115734720416,0.9242718446601942,304902,1.1363956928253174
1,MultiRocket-LSTM,Argmax CopycatCNN,7,0.3660598179453836,0.9242718446601942,304902,0.37471818923950195
1,MultiRocket-LSTM,Adaptive KnockoffNets,7,0.36866059817945385,0.9242718446601942,304902,0.40033555030822754
1,MultiRocket-LSTM,Probabilistic CopycatCNN,15,0.307843137254902,0.9242718446601942,304902,0.3105912208557129
1,MultiRocket-LSTM,Argmax CopycatCNN,15,0.3241830065359477,0.9242718446601942,304902,0.3154921531677246
1,MultiRocket-LSTM,Adaptive KnockoffNets,15,0.31699346405228757,0.9242718446601942,304902,0.35784149169921875
1,MultiRocket-LSTM,Probabilistic CopycatCNN,77,0.5040871934604905,0.9242718446601942,304902,1.054680585861206
1,MultiRocket-LSTM,Argmax CopycatCNN,77,0.5061307901907357,0.9242718446601942,304902,1.0534172058105469
1,MultiRocket-LSTM,Adaptive KnockoffNets,77,0.329700272479564,0.9242718446601942,304902,1.297685146331787
1,MultiRocket-LSTM,Probabilistic CopycatCNN,154,0.5657800143781452,0.9242718446601942,304902,2.276644468307495
1,MultiRocket-LSTM,Argmax CopycatCNN,154,0.5902228612508986,0.9242718446601942,304902,1.9386155605316162
1,MultiRocket-LSTM,Adaptive KnockoffNets,154,0.32063263838964773,0.9242718446601942,304902,2.4082677364349365
1,MultiRocket-LSTM,Probabilistic CopycatCNN,231,0.6286149162861492,0.9242718446601942,304902,3.2301836013793945
1,MultiRocket-LSTM,Argmax CopycatCNN,231,0.6438356164383562,0.9242718446601942,304902,3.2860758304595947
1,MultiRocket-LSTM,Adaptive KnockoffNets,231,0.471841704718417,0.9242718446601942,304902,4.167379140853882
1,MultiRocket-LSTM,Probabilistic CopycatCNN,309,0.6949838187702265,0.9242718446601942,304902,4.316213369369507
1,MultiRocket-LSTM,Argmax CopycatCNN,309,0.6966019417475728,0.9242718446601942,304902,3.6744415760040283
1,MultiRocket-LSTM,Adaptive KnockoffNets,309,0.3131067961165049,0.9242718446601942,304902,4.675272226333618
1,MultiRocket-LSTM,Probabilistic CopycatCNN,386,0.5099223468507333,0.9242718446601942,304902,5.5071117877960205
1,MultiRocket-LSTM,Argmax CopycatCNN,386,0.5090595340811044,0.9242718446601942,304902,5.5704450607299805
1,MultiRocket-LSTM,Adaptive KnockoffNets,386,0.5660051768766178,0.9242718446601942,304902,6.763965368270874
1,MultiRocket-LSTM,Probabilistic CopycatCNN,463,0.7523105360443623,0.9242718446601942,304902,5.574176073074341
1,MultiRocket-LSTM,Argmax CopycatCNN,463,0.7532347504621072,0.9242718446601942,304902,5.5800018310546875
1,MultiRocket-LSTM,Adaptive KnockoffNets,463,0.7578558225508318,0.9242718446601942,304902,8.641189575195312
1,MultiRocket-LSTM,Probabilistic CopycatCNN,540,0.817910447761194,0.9242718446601942,304902,7.311843156814575
1,MultiRocket-LSTM,Argmax CopycatCNN,540,0.8049751243781095,0.9242718446601942,304902,7.51873517036438
1,MultiRocket-LSTM,Adaptive KnockoffNets,540,0.7263681592039801,0.9242718446601942,304902,8.700132846832275
1,MultiRocket-LSTM,Probabilistic CopycatCNN,618,0.8381877022653722,0.9242718446601942,304902,8.656351804733276
1,MultiRocket-LSTM,Argmax CopycatCNN,618,0.8500539374325782,0.9242718446601942,304902,7.3332483768463135
1,MultiRocket-LSTM,Adaptive KnockoffNets,618,0.5512405609492989,0.9242718446601942,304902,9.427823066711426
1,MultiRocket-LSTM,Probabilistic CopycatCNN,695,0.8576470588235294,0.9242718446601942,304902,8.208495855331421
1,MultiRocket-LSTM,Argmax CopycatCNN,695,0.8658823529411764,0.9242718446601942,304902,9.827796220779419
1,MultiRocket-LSTM,Adaptive KnockoffNets,695,0.8505882352941176,0.9242718446601942,304902,10.799507141113281
1,MultiRocket-LSTM,Probabilistic CopycatCNN,772,0.888745148771022,0.9242718446601942,304902,9.261168241500854
1,MultiRocket-LSTM,Argmax CopycatCNN,772,0.8965071151358344,0.9242718446601942,304902,9.25931692123413
1,MultiRocket-LSTM,Adaptive KnockoffNets,772,0.8926261319534282,0.9242718446601942,304902,11.975932359695435
1,MiniRocket-LSTM,Probabilistic CopycatCNN,7,0.5552665799739922,0.9359223300970874,304902,0.29206013679504395
1,MiniRocket-LSTM,Argmax CopycatCNN,7,0.5403120936280884,0.9359223300970874,304902,0.30801916122436523
1,MiniRocket-LSTM,Adaptive KnockoffNets,7,0.49024707412223667,0.9359223300970874,304902,0.33960461616516113
1,MiniRocket-LSTM,Probabilistic CopycatCNN,15,0.5522875816993464,0.9359223300970874,304902,0.33953332901000977
1,MiniRocket-LSTM,Argmax CopycatCNN,15,0.538562091503268,0.9359223300970874,304902,0.32093358039855957
1,MiniRocket-LSTM,Adaptive KnockoffNets,15,0.28823529411764703,0.9359223300970874,304902,0.2558870315551758
1,MiniRocket-LSTM,Probabilistic CopycatCNN,77,0.5429155313351499,0.9359223300970874,304902,0.46779441833496094
1,MiniRocket-LSTM,Argmax CopycatCNN,77,0.5735694822888283,0.9359223300970874,304902,0.45798540115356445
1,MiniRocket-LSTM,Adaptive KnockoffNets,77,0.5006811989100818,0.9359223300970874,304902,0.6837418079376221
1,MiniRocket-LSTM,Probabilistic CopycatCNN,154,0.5276779295470885,0.9359223300970874,304902,0.7465183734893799
