Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Samples,Accuracy,Original Model Accuracy
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,330,0.49318181818181817,0.9954545454545455
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,396,0.6515151515151515,0.9954545454545455
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,396,0.6803030303030303,0.9954545454545455
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,396,0.6772727272727272,0.9954545454545455
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,461,0.6757575757575758,0.9954545454545455
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,461,0.6628787878787878,0.9954545454545455
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,461,0.4863636363636364,0.9954545454545455
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,528,0.7348484848484849,0.9954545454545455
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,528,0.7234848484848485,0.9954545454545455
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,528,0.32575757575757575,0.9954545454545455
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,594,0.7007575757575758,0.9954545454545455
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,594,0.7174242424242424,0.9954545454545455
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,594,0.6507575757575758,0.9954545454545455
0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,660,0.7106060606060606,0.9954545454545455
0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,660,0.7098484848484848,0.9954545454545455
0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,660,0.6651515151515152,0.9954545454545455
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,10,0.4287878787878788,0.9977272727272727
0.1,1,Rocket-LSTM,Argmax CopycatCNN,10,0.4590909090909091,0.9977272727272727
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,10,0.17196969696969697,0.9977272727272727
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,10,0.475,0.9977272727272727
0.1,1,Rocket-LSTM,Argmax CopycatCNN,10,0.4810606060606061,0.9977272727272727
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,10,0.2916666666666667,0.9977272727272727
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,13,0.5303030303030303,0.9977272727272727
0.1,1,Rocket-LSTM,Argmax CopycatCNN,13,0.5166666666666667,0.9977272727272727
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,13,0.4871212121212121,0.9977272727272727
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,66,0.08257575757575758,0.9977272727272727
0.1,1,Rocket-LSTM,Argmax CopycatCNN,66,0.43257575757575756,0.9977272727272727
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,66,0.20227272727272727,0.9977272727272727
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,132,0.5098484848484849,0.9977272727272727
0.1,1,Rocket-LSTM,Argmax CopycatCNN,132,0.5598484848484848,0.9977272727272727
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,132,0.556060606060606,0.9977272727272727
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,198,0.6022727272727273,0.9977272727272727
0.1,1,Rocket-LSTM,Argmax CopycatCNN,198,0.6189393939393939,0.9977272727272727
0.1,1,Rocket-LSTM,Adaptive KnockoffNets,198,0.6128787878787879,0.9977272727272727
0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,264,0.656060606060606,0.9977272727272727
