Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,1,0,0.10378787878787879,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,1,0,0.0946969696969697,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,1,0,0.11287878787878788,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,4,2,0.10378787878787879,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,4,2,0.10378787878787879,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,4,2,0.11515151515151516,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,8,5,0.19924242424242425,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,8,5,0.15757575757575756,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,8,5,0.23636363636363636,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,40,26,0.1053030303030303,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,40,26,0.30833333333333335,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,40,26,0.3234848484848485,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,80,52,0.49015151515151517,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,80,52,0.5787878787878787,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,80,52,0.4712121212121212,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,119,79,0.6295454545454545,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,119,79,0.6439393939393939,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,119,79,0.5742424242424242,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,159,105,0.7431818181818182,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,159,105,0.7704545454545455,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,159,105,0.7303030303030303,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,198,132,0.7886363636363637,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,198,132,0.8295454545454546,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,198,132,0.7613636363636364,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,238,158,0.8984848484848484,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,238,158,0.8977272727272727,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,238,158,0.8606060606060606,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,277,184,0.9053030303030303,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,277,184,0.9113636363636364,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,277,184,0.7984848484848485,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,317,211,0.9151515151515152,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,317,211,0.9242424242424242,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,317,211,0.7462121212121212,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,357,237,0.921969696969697,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,357,237,0.9318181818181818,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,357,237,0.8916666666666667,0.9962121212121212
0.4,1,MultiRocket-LSTM,Probabilistic CopycatCNN,396,264,0.918939393939394,0.9962121212121212
0.4,1,MultiRocket-LSTM,Argmax CopycatCNN,396,264,0.9295454545454546,0.9962121212121212
0.4,1,MultiRocket-LSTM,Adaptive KnockoffNets,396,264,0.8977272727272727,0.9962121212121212
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,1,0,0.07954545454545454,0.9954545454545455
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,1,0,0.09924242424242424,0.9954545454545455
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,1,0,0.0946969696969697,0.9954545454545455
