Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,66,66,0.3984848484848485,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,66,66,0.7386363636363636,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,99,99,0.8037878787878788,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,99,99,0.8136363636363636,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,99,99,0.7909090909090909,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,132,132,0.8454545454545455,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,132,132,0.8696969696969697,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,132,132,0.471969696969697,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,165,165,0.853030303030303,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,165,165,0.8878787878787879,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,165,165,0.8295454545454546,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,198,198,0.9174242424242425,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,198,198,0.8507575757575757,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,198,198,0.8931818181818182,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,231,230,0.9303030303030303,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,231,230,0.928030303030303,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,231,230,0.8954545454545455,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,264,264,0.943939393939394,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,264,264,0.9477272727272728,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,264,264,0.8984848484848484,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,297,297,0.9507575757575758,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,297,297,0.9431818181818182,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,297,297,0.9393939393939394,0.9954545454545455
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,330,330,0.9598484848484848,0.9954545454545455
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,330,330,0.9583333333333334,0.9954545454545455
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,330,330,0.9272727272727272,0.9954545454545455
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,1,0,0.10378787878787879,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,1,0,0.0946969696969697,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,1,0,0.10378787878787879,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,3,3,0.0946969696969697,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,3,3,0.09848484848484848,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,3,3,0.17045454545454544,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,7,6,0.31666666666666665,0.9977272727272727
