Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,1,0,0.10378787878787879,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,1,0,0.0946969696969697,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,1,0,0.11287878787878788,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,3,3,0.10378787878787879,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,3,3,0.10909090909090909,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,3,3,0.17803030303030304,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,6,7,0.20833333333333334,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,6,7,0.26136363636363635,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,6,7,0.225,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,27,39,0.10909090909090909,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,27,39,0.278030303030303,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,27,39,0.22803030303030303,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,53,79,0.509090909090909,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,53,79,0.6712121212121213,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,53,79,0.675,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,80,118,0.6378787878787879,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,80,118,0.7704545454545455,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,80,118,0.5818181818181818,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,106,158,0.8,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,106,158,0.7053030303030303,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,106,158,0.7734848484848484,0.9962121212121212
0.6,1,MultiRocket-LSTM,Probabilistic CopycatCNN,132,198,0.8272727272727273,0.9962121212121212
0.6,1,MultiRocket-LSTM,Argmax CopycatCNN,132,198,0.8393939393939394,0.9962121212121212
0.6,1,MultiRocket-LSTM,Adaptive KnockoffNets,132,198,0.8287878787878787,0.9962121212121212
