Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),77,0.5040871934604905,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),154,0.6685837526959022,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),154,0.6391085549964055,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),154,0.5535585909417685,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),231,0.6689497716894978,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),231,0.7024353120243532,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),231,0.5068493150684932,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),309,0.7653721682847896,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),309,0.7734627831715211,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),309,0.5186084142394822,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),386,0.7894736842105263,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),386,0.7601380500431406,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),386,0.5970664365832614,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),463,0.8271719038817006,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),463,0.8031423290203327,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),463,0.7939001848428835,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),540,0.8507462686567164,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),540,0.8477611940298507,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),540,0.8537313432835821,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),618,0.8705501618122977,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),618,0.8651564185544768,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),618,0.8425026968716289,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),695,0.8741176470588236,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),695,0.8776470588235294,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),695,0.8776470588235294,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),772,0.8965071151358344,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),772,0.8564036222509702,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,MiniRocket-LSTM,KnockoffNets (vs. Protected),772,0.8758085381630013,0.9359223300970874,0.9359223300970874
1,ReverseSigmoid,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),7,0.43237971391417424,0.9074433656957929,0.9074433656957929
1,ReverseSigmoid,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),7,0.41612483745123535,0.9074433656957929,0.9074433656957929
1,ReverseSigmoid,Rocket-LSTM,KnockoffNets (vs. Protected),7,0.42977893368010406,0.9074433656957929,0.9074433656957929
1,ReverseSigmoid,Rocket-LSTM,Probabilistic CopycatCNN (vs. Protected),15,0.4437908496732026,0.9074433656957929,0.9074433656957929
1,ReverseSigmoid,Rocket-LSTM,Argmax CopycatCNN (vs. Protected),15,0.4477124183006536,0.9074433656957929,0.9074433656957929
1,ReverseSigmoid,Rocket-LSTM,KnockoffNets (vs. Protected),15,0.45816993464052286,0.9074433656957929,0.9074433656957929
