Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,99,65,0.679805942995755,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,99,65,0.7422680412371134,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,99,65,0.742874469375379,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,149,98,0.7665251667677381,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,149,98,0.7926015767131595,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,149,98,0.7938144329896907,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,198,131,0.845360824742268,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,198,131,0.8405093996361431,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,198,131,0.8447543966040024,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,248,164,0.8732565191024864,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,248,164,0.9029714978775015,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,248,164,0.8963007883565798,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,297,197,0.9302607640994542,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,297,197,0.9332929047907823,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,297,197,0.9151000606428138,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,347,230,0.9308671922377199,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,347,230,0.9254093389933293,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,347,230,0.9326864766525167,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,396,263,0.9539114614918133,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,396,263,0.9630078835657975,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,396,263,0.9351121892055791,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,446,296,0.9648271679805943,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,446,296,0.9666464523953912,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,446,296,0.9423893268647665,0.9909035779260158
0.4,1,MiniRocket-LSTM,Probabilistic CopycatCNN,495,329,0.9696785930867192,0.9909035779260158
0.4,1,MiniRocket-LSTM,Argmax CopycatCNN,495,329,0.9624014554275319,0.9909035779260158
0.4,1,MiniRocket-LSTM,Adaptive KnockoffNets,495,329,0.9520921770770163,0.9909035779260158
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,1,0,0.10794420861127957,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,1,0,0.10794420861127957,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,1,0,0.10612492419648271,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,5,3,0.10187992722862341,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,5,3,0.24620982413583992,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,5,3,0.24681625227410553,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,10,6,0.22983626440266827,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,10,6,0.2104305639781686,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,10,6,0.22134627046694966,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,50,32,0.2546998180715585,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,50,32,0.3796240145542753,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,50,32,0.42813826561552454,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,99,65,0.4687689508793208,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,99,65,0.4948453608247423,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,99,65,0.5245603395997575,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,149,98,0.5761067313523347,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,149,98,0.5979381443298969,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,149,98,0.5864160097028502,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,198,131,0.6646452395391146,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,198,131,0.7186173438447544,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,198,131,0.7665251667677381,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,248,164,0.8150394178289873,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,248,164,0.8071558520315343,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,248,164,0.8223165554881746,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,297,197,0.8587022437841115,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,297,197,0.8308065494238933,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,297,197,0.8010915706488781,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,347,230,0.8168587022437841,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,347,230,0.8047301394784718,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,347,230,0.7719830200121286,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,396,263,0.8302001212856277,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,396,263,0.790175864160097,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,396,263,0.7707701637355974,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,446,296,0.8211036992116434,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,446,296,0.8101879927228623,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,446,296,0.8065494238932687,0.9939357186173439
0.4,1,Rocket-LSTM,Probabilistic CopycatCNN,495,329,0.84232868405094,0.9939357186173439
0.4,1,Rocket-LSTM,Argmax CopycatCNN,495,329,0.8350515463917526,0.9939357186173439
0.4,1,Rocket-LSTM,Adaptive KnockoffNets,495,329,0.8380836870830807,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,1,0,0.10794420861127957,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,1,0,0.10612492419648271,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,1,0,0.10612492419648271,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,5,3,0.2510612492419648,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,5,3,0.22316555488174653,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,5,3,0.24075197089144937,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,10,6,0.33656761673741664,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,10,6,0.44390539721043054,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,10,6,0.44572468162522744,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,50,32,0.5009096422073984,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,50,32,0.5530624620982414,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,50,32,0.5009096422073984,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,99,65,0.7058823529411765,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,99,65,0.7422680412371134,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,99,65,0.7392359005457854,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,149,98,0.8004851425106125,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,149,98,0.8077622801697999,0.9939357186173439
0.4,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,149,98,0.8204972710733778,0.9939357186173439
