Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Samples,Accuracy,Original Model Accuracy
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,6,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,6,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,6,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,7,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,7,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,7,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,15,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,15,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,15,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,77,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,77,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,77,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,154,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,154,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,154,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,231,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,231,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,231,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,309,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,309,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,309,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,386,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,386,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,386,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,463,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,463,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,463,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,540,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,540,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,540,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,618,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,618,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,618,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,695,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,695,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,695,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Probabilistic CopycatCNN,772,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Argmax CopycatCNN,772,0.1831715210355987,0.8233009708737864
0.5,1,MultiRocket-LSTM,Adaptive KnockoffNets,772,0.1831715210355987,0.8233009708737864
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,6,0.170873786407767,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,6,0.170873786407767,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,6,0.3488673139158576,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,7,0.23300970873786409,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,7,0.22394822006472492,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,7,0.1818770226537217,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,15,0.26601941747572816,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,15,0.2407766990291262,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,15,0.23106796116504855,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,77,0.3313915857605178,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,77,0.32103559870550163,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,77,0.32362459546925565,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,154,0.2841423948220065,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,154,0.26796116504854367,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,154,0.2627831715210356,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,231,0.26407766990291265,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,231,0.26472491909385115,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,231,0.2608414239482201,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,309,0.27184466019417475,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,309,0.27184466019417475,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,309,0.27637540453074433,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,386,0.27184466019417475,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,386,0.27184466019417475,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,386,0.2686084142394822,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,463,0.26601941747572816,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,463,0.26537216828478966,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,463,0.258252427184466,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,540,0.35210355987055014,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,540,0.3048543689320388,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,540,0.29320388349514565,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,618,0.3055016181229773,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,618,0.3119741100323625,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,618,0.2537216828478964,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,695,0.29320388349514565,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,695,0.31650485436893205,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,695,0.29385113268608415,0.9294498381877022
0.5,1,MiniRocket-LSTM,Probabilistic CopycatCNN,772,0.29514563106796116,0.9294498381877022
0.5,1,MiniRocket-LSTM,Argmax CopycatCNN,772,0.29320388349514565,0.9294498381877022
0.5,1,MiniRocket-LSTM,Adaptive KnockoffNets,772,0.313915857605178,0.9294498381877022
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,6,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,6,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,6,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,7,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,7,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,7,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,15,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,15,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,15,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,77,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,77,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,77,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,154,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,154,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,154,0.3618122977346278,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,231,0.37216828478964403,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,231,0.3779935275080906,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,231,0.170873786407767,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,309,0.3585760517799353,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,309,0.35145631067961164,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,309,0.3326860841423948,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,386,0.3326860841423948,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,386,0.34110032362459547,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,386,0.3644012944983819,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,463,0.3566343042071197,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,463,0.3605177993527508,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,463,0.28932038834951457,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,540,0.39093851132686086,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,540,0.40194174757281553,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,540,0.3559870550161812,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,618,0.3553398058252427,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,618,0.3553398058252427,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,618,0.3553398058252427,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,695,0.3553398058252427,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,695,0.3553398058252427,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,695,0.3553398058252427,0.9029126213592233
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,772,0.3566343042071197,0.9029126213592233
0.5,1,Rocket-LSTM,Argmax CopycatCNN,772,0.3566343042071197,0.9029126213592233
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,772,0.3566343042071197,0.9029126213592233
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,6,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,6,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,6,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,7,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,7,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,7,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,15,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,15,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,15,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,77,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,77,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,77,0.14110032362459546,0.8233009708737864
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,154,0.14110032362459546,0.8233009708737864
