Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Probabilistic CopycatCNN,226,217,217,0.8507575757575757,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Argmax CopycatCNN,226,217,217,0.906060606060606,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MultiRocket-LSTM,Adaptive KnockoffNets,226,217,217,0.8954545454545455,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.09848484848484848,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,3,3,0.14015151515151514,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.14924242424242423,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.2765151515151515,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,4,3,3,0.1643939393939394,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,4,3,3,0.2409090909090909,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.31893939393939397,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,5,4,4,0.35833333333333334,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,5,4,4,0.15757575757575756,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.07954545454545454,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,24,21,21,0.1765151515151515,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,24,21,21,0.07954545454545454,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.3340909090909091,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,46,43,43,0.34924242424242424,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,46,43,43,0.31212121212121213,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.603030303030303,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,68,65,65,0.725,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,68,65,65,0.6893939393939394,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,90,87,87,0.6901515151515152,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,90,87,87,0.8007575757575758,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,90,87,87,0.7765151515151515,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,114,108,108,0.831060606060606,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,114,108,108,0.8431818181818181,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,114,108,108,0.7825757575757576,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,136,130,130,0.8568181818181818,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,136,130,130,0.871969696969697,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,136,130,130,0.8378787878787879,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,157,152,152,0.8181818181818182,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,157,152,152,0.8098484848484848,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,157,152,152,0.8689393939393939,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,180,174,174,0.8878787878787879,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,180,174,174,0.9015151515151515,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,180,174,174,0.9022727272727272,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,202,196,196,0.9196969696969697,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,202,196,196,0.9234848484848485,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,202,196,196,0.9015151515151515,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Probabilistic CopycatCNN,226,217,217,0.9287878787878788,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Argmax CopycatCNN,226,217,217,0.9340909090909091,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,MiniRocket-LSTM,Adaptive KnockoffNets,226,217,217,0.9045454545454545,0.9962121212121212,0.9962121212121212
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.09924242424242424,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,4,3,3,0.15984848484848485,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,4,3,3,0.2015151515151515,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.19772727272727272,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,4,3,3,0.24242424242424243,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,4,3,3,0.27575757575757576,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.23863636363636365,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,5,4,4,0.18712121212121213,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,5,4,4,0.21515151515151515,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.2674242424242424,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,24,21,21,0.18636363636363637,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,24,21,21,0.16666666666666666,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.26666666666666666,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,46,43,43,0.6060606060606061,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,46,43,43,0.5901515151515152,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.5083333333333333,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,68,65,65,0.7121212121212122,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,68,65,65,0.6378787878787879,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,90,87,87,0.7568181818181818,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,90,87,87,0.7659090909090909,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,90,87,87,0.625,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,114,108,108,0.8234848484848485,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,114,108,108,0.8348484848484848,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,114,108,108,0.7598484848484849,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,136,130,130,0.8386363636363636,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,136,130,130,0.8651515151515151,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,136,130,130,0.8507575757575757,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,157,152,152,0.8931818181818182,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,157,152,152,0.9136363636363637,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,157,152,152,0.8416666666666667,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,180,174,174,0.8962121212121212,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,180,174,174,0.9015151515151515,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,180,174,174,0.8787878787878788,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,202,196,196,0.9181818181818182,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,202,196,196,0.896969696969697,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,202,196,196,0.8742424242424243,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,226,217,217,0.9393939393939394,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Argmax CopycatCNN,226,217,217,0.9318181818181818,0.9977272727272727,0.9977272727272727
FeatureSqueezing,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,226,217,217,0.8931818181818182,0.9977272727272727,0.9977272727272727
