Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,1,0,0.14110032362459546,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,1,0,0.18122977346278318,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,1,0,0.18122977346278318,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,5,2,0.1831715210355987,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,5,2,0.29967637540453074,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,5,2,0.14110032362459546,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,11,4,0.26796116504854367,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,11,4,0.4084142394822006,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,11,4,0.4168284789644013,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,54,23,0.5035598705501618,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,54,23,0.5145631067961165,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,54,23,0.2750809061488673,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,108,46,0.37993527508090613,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,108,46,0.39158576051779936,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,108,46,0.24919093851132687,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,162,69,0.3605177993527508,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,162,69,0.4375404530744337,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,162,69,0.4692556634304207,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,217,92,0.537864077669903,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,217,92,0.4666666666666667,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,217,92,0.568284789644013,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,271,115,0.2867313915857605,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,271,115,0.34110032362459547,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,271,115,0.14627831715210357,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,325,138,0.3022653721682848,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,325,138,0.6718446601941748,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,325,138,0.513915857605178,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,378,162,0.6336569579288026,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,378,162,0.6822006472491909,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,378,162,0.6776699029126214,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,433,185,0.7605177993527508,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,433,185,0.7456310679611651,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,433,185,0.5611650485436893,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,487,208,0.7527508090614887,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,487,208,0.7592233009708738,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,487,208,0.713915857605178,0.8233009708737864
0.3,1,MultiRocket-LSTM,Probabilistic CopycatCNN,541,231,0.7656957928802589,0.8233009708737864
0.3,1,MultiRocket-LSTM,Argmax CopycatCNN,541,231,0.6148867313915858,0.8233009708737864
0.3,1,MultiRocket-LSTM,Adaptive KnockoffNets,541,231,0.7572815533980582,0.8233009708737864
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,1,0,0.14110032362459546,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,1,0,0.18122977346278318,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,1,0,0.1423948220064725,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,5,2,0.16957928802588998,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,5,2,0.24789644012944984,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,5,2,0.42006472491909386,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,11,4,0.39935275080906146,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,11,4,0.3877022653721683,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,11,4,0.5106796116504855,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,54,23,0.5093851132686085,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,54,23,0.510032362459547,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,54,23,0.4614886731391586,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,108,46,0.5346278317152103,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,108,46,0.5236245954692557,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,108,46,0.3844660194174757,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,162,69,0.537864077669903,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,162,69,0.5346278317152103,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,162,69,0.484789644012945,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,217,92,0.6595469255663431,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,217,92,0.6692556634304208,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,217,92,0.43106796116504853,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,271,115,0.516504854368932,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,271,115,0.5009708737864078,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,271,115,0.40323624595469254,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,325,138,0.7281553398058253,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,325,138,0.7475728155339806,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,325,138,0.7372168284789644,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,378,162,0.7702265372168284,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,378,162,0.7786407766990291,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,378,162,0.7799352750809061,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,433,185,0.8045307443365696,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,433,185,0.8265372168284789,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,433,185,0.6472491909385113,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,487,208,0.8258899676375404,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,487,208,0.8297734627831715,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,487,208,0.5644012944983818,0.9294498381877022
0.3,1,MiniRocket-LSTM,Probabilistic CopycatCNN,541,231,0.7003236245954693,0.9294498381877022
0.3,1,MiniRocket-LSTM,Argmax CopycatCNN,541,231,0.8511326860841424,0.9294498381877022
0.3,1,MiniRocket-LSTM,Adaptive KnockoffNets,541,231,0.8588996763754045,0.9294498381877022
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,1,0,0.18122977346278318,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,1,0,0.18122977346278318,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,1,0,0.18122977346278318,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,5,2,0.18122977346278318,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,5,2,0.170873786407767,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,5,2,0.45372168284789643,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,11,4,0.4647249190938511,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,11,4,0.4388349514563107,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,11,4,0.4323624595469256,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,54,23,0.5009708737864078,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,54,23,0.516504854368932,0.9029126213592233
0.3,1,Rocket-LSTM,Adaptive KnockoffNets,54,23,0.48220064724919093,0.9029126213592233
0.3,1,Rocket-LSTM,Probabilistic CopycatCNN,108,46,0.4381877022653722,0.9029126213592233
0.3,1,Rocket-LSTM,Argmax CopycatCNN,108,46,0.4867313915857605,0.9029126213592233
